"Restaurant Name","Address","City","State","Zipcode","Doordash ID","Contains images on Doordash","Is it in the Woflow table","Is it in our database(DB)?","If in our DB, is it flagged?","If in our DB, does it have 3+ images?","If in our DB, how many ratings?"
"Taco Bell ","3350 East Andy Devine Avenue","Kingman","AZ","86401","taco-bell-kingman-576057"
"Ruyi Express ","960 West Beale Street","Kingman","AZ","86401","ruyi-express-kingman-580141"
"Thai 66 ","2018 East Andy Devine Avenue","Kingman","AZ","86401","thai-66-kingman-579973"
"Denny's ","3300 East Andy Devine Avenue","Kingman","AZ","86401","denny-s-kingman-581584"
"The Garlic Clove Restaurant & Catering ","509 Beale Street","Kingman","AZ","86401","the-garlic-clove-restaurant-catering-kingman-580130"
"McDonald’s ","3264 East Andy Devine Avenue","Kingman","AZ","86401","mcdonald-s-kingman-576034"
"Subway ","953 West Beale Street","Kingman","AZ","86401","subway-kingman-642236"
"Hooch’s Kingman Grille ","2215 East Butler Avenue","Kingman","AZ","86409","hooch-s-kingman-grille-kingman-579503"
"Papa Murphy's ","3900 Stockton Hill Road","Kingman","AZ","86409","papa-murphy-s-pizza-kingman-611576"
"Kingman Chophouse ","1851 Kino Avenue","Kingman","AZ","86409","kingman-chophouse-kingman-579760"
"Mr D’z Route 66 Diner ","105 East Andy Devine Avenue","Kingman","AZ","86401","mr-d-z-route-66-diner-kingman-578913"
"El Salsas Taco Shop ","777 West Beale Street","Kingman","AZ","86401","el-salsas-taco-shop-kingman-578873"
"Oysters Mexican & Seafood ","2906 East Andy Devine Avenue","Kingman","AZ","86401","oysters-mexican-seafood-kingman-578650"
"Stromboli’s ","1968 East Andy Devine Avenue","Kingman","AZ","86401","stromboli-s-kingman-579731"
"Ma & Pa’s Hot Rod Cafe ","2215 Hualapai Mountain Road","Kingman","AZ","86401","ma-pa-s-hot-rod-cafe-kingman-579011"
"Bank Street Grinders ","4395 North Bank Street","Kingman","AZ","86409","bank-street-grinders-kingman-579769"
"Plaza Bonita ","1969 Beverly Avenue","Kingman","AZ","86409","plaza-bonita-kingman-580097"
"Mattina’s Ristorante Italiano ","318 East Oak Street","Kingman","AZ","86401","mattina-s-ristorante-italiano-kingman-578751"
"Rickety Cricket Brewing ","312 East Beale Street","Kingman","AZ","86401","rickety-cricket-brewing-kingman-580160"
"Starbucks ","3125 Stockton Hill Road","Kingman","AZ","86401","starbucks-kingman-576042"
"El Potrillo ","2549 Hualapai Mountain Road","Kingman","AZ","86401","el-potrillo-kingman-578785"
"Calico’s ","418 West Beale Street","Kingman","AZ","86401","calico-s-kingman-578462"
"India Spice N Bar ","2890 East Andy Devine Avenue","Kingman","AZ","86401","india-spice-n-bar-kingman-579589"
"Canyon 66 Restaurant and Lounge ","3100 East Andy Devine Avenue","Kingman","AZ","86401","canyon-66-restaurant-and-lounge-kingman-578577"
"Dambar & Steak House ","1960 East Andy Devine Avenue","Kingman","AZ","86401","dambar-steak-house-kingman-579164"
"El Tio Taco Shop ","2615 East Northern Avenue","Kingman","AZ","86409","el-tio-taco-shop-kingman-579560"
"Floyd and Company Real Pit BBQ ","420 East Beale Street","Kingman","AZ","86401","floyd-and-company-real-pit-bbq-kingman-578801"
"Sirens Cafe & Custom Catering ","419 East Beale Street","Kingman","AZ","86401","sirens-cafe-custom-catering-kingman-579561"
"Garibaldi’s ","311 East Andy Devine Avenue","Kingman","AZ","86401","garibaldi-s-kingman-579238"
"Menchies Frozen Yogurt ","3535 Stockton Hill Road","Kingman","AZ","86409","menchies-frozen-yogurt-kingman-628564"
"Rainbow Diner ","1570 East Northern Avenue","Kingman","AZ","86409","rainbow-diner-kingman-579818"
"Subway ","1280 Wisconsin Dells Parkway South","Baraboo","WI","53913","subway-baraboo-642527"
"Mcalister's Deli ","215 Adams Drive","Weatherford","TX","76086","mcalister-s-deli-weatherford-544956"
"Chick-fil-A ","2525 South Main Street","Weatherford","TX","76087","chick-fil-a-weatherford-529957"
"Wingstop ","1930 South Main Street","Weatherford","TX","76086","wingstop-weatherford-570667"
"Chipotle ","106 Interstate 20","Weatherford","TX","76087","chipotle-weatherford-543615"
"Chili's ","128 Interstate 20","Weatherford","TX","76087","chili-s-grill-bar-weatherford-622199"
"Panda Express ","1900 South Main Street","Weatherford","TX","76086","panda-express-weatherford-621538"
"Buffalo Wild Wings ","320 Adams Drive","Weatherford","TX","76086","buffalo-wild-wings-weatherford-611960"
"IHOP ","2005 South Main Street","Weatherford","TX","76086","ihop-weatherford-363787"
"On the Border ","114 I-20 Service Road","Weatherford","TX","76086","on-the-border-weatherford-487493"
"Chicken Express","1711 Bethel Road","Weatherford","TX","76086","chicken-express-weatherford-485248"
"Nizza Pizza Pasta & Subs","1016 South Main Street","Weatherford","TX","76086","nizza-pizza-pasta-subs-weatherford-487517"
