"Restaurant Name","Address","City","State","Zipcode","Doordash ID","Contains images on Doordash","Reviews","Is it in the Woflow table","Is it in our database(DB)?","If in our DB, is it flagged?","If in our DB, does it have 3+ images?","If in our DB, how many ratings?"
"Himalayan Pizzas and Momo","288 Golden Gate Avenue","San Francisco","CA","94102","himalayan-pizzas-and-momo-san-francisco-233565","Yes","208","No","himalayan-pizza--momo-san-francisco-282","No","Yes","4.7"
"U :Dessert Story","3489 16th Street","San Francisco","CA","94114","u-dessert-story-san-francisco-416800","Yes","115","No","u-:dessert-story-san-francisco-344","Yes","Yes","4.6"
"Pluto's","3258 Scott Street","San Francisco","CA","94123","pluto-s-san-francisco-302678","Yes","299","No","plutos-san-francisco-323","No","Yes","4.6"
"Eleven O One","1101 Polk Street","San Francisco","CA","94109","eleven-o-one-san-francisco-89114","Yes","287","No","eleven-o-one-san-francisco-119","No","Yes","4.8"
"Coco Fresh Tea & Juice","652 Market Street","San Francisco","CA","94104","coco-fresh-tea-juice-san-francisco-624704","Yes","0","No",""
"Hall Of Flame Burgers","73 Cambon Drive","San Francisco","CA","94132","hall-of-flame-burgers-san-francisco-614581","Yes","0","No",""
"Casa Barajas","1849 Lincoln Way","San Francisco","CA","94122","casa-barajas-san-francisco-247750","Yes","205","No",""
"Tara Indian Cuisine","2217 Market Street","San Francisco","CA","94114","tara-indian-cuisine-san-francisco-441336","Yes","48","No","tara-indian-cuisine-san-francisco-224","No","Yes","4.6"
"Subway","2001 Van Ness Avenue","San Francisco","CA","94109","subway-san-francisco-130473","Yes","426","No",""
"B&J 1-4 Lb Burgers","6202 3rd Street","San Francisco","CA","94124","b-j-1-4-lb-burgers-san-francisco-297090","Yes","323","No","b--j-1/4-lb-burgers-san-francisco-624","No","Yes","4.5"
"Mustafio's Pizza","1116 Polk Street","San Francisco","CA","94109","mustafio-s-pizza-san-francisco-217262","Yes","677","No","mustafios-pizza-san-francisco-119","No","Yes","4.5"
"New Sun Hong Kong Restaurant","606 Broadway","San Francisco","CA","94133","new-sun-hong-kong-restaurant-san-francisco-161418","Yes","168","No","new-sun-hong-kong-restaurant-san-francisco-603","No","Yes","4.5"
"Taqueria Dos Charros","55 Cambon Drive","San Francisco","CA","94132","taqueria-dos-charros-san-francisco-297442","Yes","75","No","taqueria-dos-charros-san-francisco-552","No","No","4.3"
"Toast Eatery","160 West Portal Avenue","San Francisco","CA","94127","toast-eatery-san-francisco-297336","Yes","57","No",""
"Pho 335","335 Noe Street","San Francisco","CA","94114","pho-335-san-francisco-427104","Yes","168","No","pho-335-san-francisco-334","No","Yes","4.7"
"Bizza","1463 Haight Street","San Francisco","CA","94117","bizza-san-francisco-214562","Yes","444","No",""
"85C Bakery","3251 20th Avenue","San Francisco","CA","94132","85c-bakery-cafe-san-francisco-454341","Yes","22","No","gram-cafe--pancakes-san-francisco-322","No","Yes","4.9"
"Mr Pickles Sandwich","3380 20th Street","San Francisco","CA","94110","mr-pickles-sandwich-san-francisco-621241","Yes","0","No","mr-pickles-sandwich-shop-san-francisco-330","No","Yes","0"
"Ingleside Pizza","4097 19th Avenue","San Francisco","CA","94132","ingleside-pizza-san-francisco-293461","Yes","342","No",""
"Califlower Pizza","22 Morris Street","San Francisco","CA","94107","califlower-pizza-san-francisco-572350","Yes","0","No",""
"Lorenzo's of New York Pizza","3242 22nd Street","San Francisco","CA","94110","lorenzo-s-of-new-york-pizza-san-francisco-627370","Yes","0","No",""
"Golden Era Vegan Restaurant","395 Golden Gate Avenue","San Francisco","CA","94102","golden-era-vegan-restaurant-san-francisco-297410","No","345","No","golden-era-vegan-restaurant-san-francisco-392","Yes","No","4.7"
"Smile House Cafe","1030 Taraval","San Francisco","CA","94116","smile-house-cafe-san-francisco-409344","No","29","No","smile-house-cafe-san-francisco-106","No","No","4.5"
"Kitchen Keto","1760 Cesar Chavez","San Francisco","CA","94124","kitchen-keto-san-francisco-468085","Yes","30","No",""
"Ushio Ramen","3128 16th Street","San Francisco","CA","94103","ushio-ramen-san-francisco-220285","Yes","213","No","ushio-ramen-san-francisco-313","No","Yes","4.5"
"Golden Ocean Quickly","1039 Ocean Avenue","San Francisco","CA","94112","golden-ocean-quickly-san-francisco-125831","Yes","357","No",""
"Purple Kow","3620 Balboa Street","San Francisco","CA","94121","purple-kow-san-francisco-175228","No","293","No","purple-kow-san-francisco-361","No","No","4.4"
"King's Thai Cuisine","346 Clement Street","San Francisco","CA","94118","king-s-thai-cuisine-san-francisco-207305","Yes","145","No","kings-thai-cuisine-2-san-francisco-348","No","Yes","4.5"
"Vixi Cucina Italiana","3611 California Street","San Francisco","CA","94118","vixi-cucina-italiana-san-francisco-419315","Yes","117","No",""
"Seniore's Pizza","320 11th Street","San Francisco","CA","94103","seniore-s-pizza-san-francisco-360221","Yes","113","No",""
"China Live","644 Broadway","San Francisco","CA","94133","china-live-san-francisco-102102","No","274","No","china-live-san-francisco-643","No","No","4.4"
"Shalimar","1409 Polk Street","San Francisco","CA","94109","shalimar-san-francisco-293464","Yes","9","No","shalimar-restaurant-san-francisco-149","No","Yes","4.9"
"$5 Salad Co","22 Morris Street","San Francisco","CA","94107","-5-salad-company-san-francisco-572205","Yes","0","No",""
"The Ice Cream Shop","2699 Mission Street","San Francisco","CA","94110","the-ice-cream-shop-san-francisco-564299","Yes","4","No",""
"Taqueria Vallarta","3033 24th Street","San Francisco","CA","94110","taqueria-vallarta-san-francisco-432152","Yes","14","No","taqueria-vallarta-san-francisco-300","No","Yes","3.9"
"Saiwalks","3348 Steiner Street","San Francisco","CA","94123","saiwalks-san-francisco-297449","Yes","183","No","saiwalks-san-francisco-333","No","Yes","4.7"
"One Waan","2922 Diamond Street","San Francisco","CA","94131","one-waan-san-francisco-207485","Yes","272","No","one-waan-san-francisco-291","No","Yes","4.7"
"The Little Chihuahua","60 Morris Street","San Francisco","CA","94107","the-little-chihuahua-san-francisco-608557","Yes","0","No",""
"Red's Pizzeria","3839 Mission Street","San Francisco","CA","94110","red-s-pizzeria-san-francisco-286353","Yes","254","No",""
"Cilantro SF Taqueria","2257 Mason Street","San Francisco","CA","94133","cilantro-sf-taqueria-san-francisco-286752","Yes","148","No",""
"Eat Sushi","1516 Folsom Street","San Francisco","CA","94103","eat-sushi-san-francisco-282791","Yes","143","No",""
"Onigilly","343 Kearny Street","San Francisco","CA","94108","onigilly-san-francisco-187321","Yes","19","No","onigilly-san-francisco-348","No","Yes","4.8"
"Grateful Greens","22 Morris Street","San Francisco","CA","94107","grateful-greens-soma-san-francisco-572204","Yes","0","No",""
"The Boba Shop","2071 3rd Street","San Francisco","CA","94107","the-boba-shop-san-francisco-240682","Yes","79","No","the-boba-shop-san-francisco-207","No","Yes","4.7"
"Corner Bakery","655 Market Street","San Francisco","CA","94105","corner-bakery-cafe-san-francisco-439412","No","60","No",""
"The Organic Coup","455 Market Street","San Francisco","CA","94105","the-organic-coup-san-francisco-297448","Yes","5","No",""
"Hom Korean Kitchen","154 McAllister Street","San Francisco","CA","94102","hom-korean-kitchen-san-francisco-621920","Yes","0","No",""
"Sift Dessert Bar","2411 California Street","San Francisco","CA","94115","sift-dessert-bar-san-francisco-297667","Yes","5","No",""
"Brew Cha","3420 18th Street","San Francisco","CA","94110","brew-cha-san-francisco-572400","Yes","0","No","brew-cha-san-francisco-340","Yes","Yes","0"
"Bacon Bacon","205 Frederick Street","San Francisco","CA","94117","bacon-bacon-san-francisco-297330","Yes","121","No",""
"Sanppo Restaurant","1702 Post Street","San Francisco","CA","94115","sanppo-restaurant-san-francisco-319216","Yes","139","No",""
"The Mexican Taqueria","533 Haight Street","San Francisco","CA","94117","the-mexican-taqueria-san-francisco-491288","Yes","13","No",""
"Double decker","2956 24th Street","San Francisco","CA","94110","double-decker-san-francisco-305821","Yes","81","No",""
"Cracked and Battered","1434 18th Street","San Francisco","CA","94107","cracked-and-battered-san-francisco-409304","No","53","No","cracked--battered-san-francisco-147","No","No","4.7"
"Subway","2675 Geary Boulevard","San Francisco","CA","94118","subway-san-francisco-403314","Yes","55","No",""
"Ramen Underground","356 Kearny Street","San Francisco","CA","94108","ramen-underground-san-francisco-207319","Yes","30","No","ramen-underground-san-francisco-358","No","Yes","4.7"
"zpizza","883 Mission Street","San Francisco","CA","94103","zpizza-san-francisco-207641","No","359","No","zpizza-san-francisco-883","No","No","4.6"
"Sajj","485 Pine Street","San Francisco","CA","94104","sajj-san-francisco-338282","Yes","111","No",""
"Charleys Philly Steaks","865 Market Street","San Francisco","CA","94103","charleys-philly-steaks-san-francisco-245815","Yes","258","No","koja-kitchen-san-francisco-863","No","Yes","4.3"
"Brioche Bakery & Cafe","210 Columbus Avenue","San Francisco","CA","94133","brioche-bakery-cafe-san-francisco-175678","Yes","108","No",""
"El Tesoro Taqueria and Grill","599 O'Farrell Street","San Francisco","CA","94102","el-tesoro-taqueria-and-grill-san-francisco-297451","Yes","167","No",""
